Manufacturer,Model,price,Wheelbase,Width,Length,Height,body
Infiniti     ,i30,8800,108.3,70.2,193.7,57.1,hatch
Infiniti     ,i30,8800,108.3,70.2,193.7,57.1,hatch
Infiniti     ,i30,8900,108.3,70.2,193.7,57.1,hatch
Infiniti     ,i30,8999,108.3,70.2,193.7,57.1,hatch
Infiniti     ,i30,9100,108.3,70.2,193.7,57.1,hatch
Infiniti     ,i30,9700,108.3,70.2,193.7,57.1,hatch
Infiniti     ,i30,10900,108.3,70.2,193.7,57.1,sedan
Infiniti     ,i30,13999,108.3,70.2,193.7,57.1,sedan
Infiniti     ,i30,9900,108.3,70.2,193.7,57.1,vagon
Infiniti     ,i30,11999,108.3,70.2,193.7,57.1,vagon
Infiniti     ,i30,17500,108.3,70.2,193.7,57.1,vagon
Jaguar       ,S-Type,7500,114.5,71.6,191.3,55.7,sedan
Jaguar       ,S-Type,12999,114.5,71.6,191.3,55.7,sedan
Jeep         ,Grand Cherokee,3300,105.9,72.3,181.5,67.3,crossover
Jeep         ,Grand Cherokee,4900,105.9,72.3,181.5,67.3,crossover
Jeep         ,Grand Cherokee,5000,105.9,72.3,181.5,67.3,crossover
Jeep         ,Grand Cherokee,5500,105.9,72.3,181.5,67.3,crossover
Jeep         ,Grand Cherokee,7200,105.9,72.3,181.5,67.3,crossover
Jeep         ,Grand Cherokee,13990,105.9,72.3,181.5,67.3,crossover
Jeep         ,Grand Cherokee,16999,105.9,72.3,181.5,67.3,crossover
Jeep         ,Grand Cherokee,19500,105.9,72.3,181.5,67.3,crossover
Jeep         ,Grand Cherokee,27500,105.9,72.3,181.5,67.3,crossover
Jeep         ,Grand Cherokee,27500,105.9,72.3,181.5,67.3,crossover
Jeep         ,Grand Cherokee,34900,105.9,72.3,181.5,67.3,crossover
Jeep         ,Grand Cherokee,40000,105.9,72.3,181.5,67.3,crossover
Jeep         ,Grand Cherokee,45500,105.9,72.3,181.5,67.3,crossover
Jeep         ,Grand Cherokee,53000,105.9,72.3,181.5,67.3,crossover
Lincoln      ,Navigator,12500,119,79.9,204.8,76.7,crossover
Lincoln      ,Town Car,10000,117.7,78.2,215.3,58,sedan
Lincoln      ,Continental,53500,109,73.6,208.5,56,sedan
Lincoln      ,Continental,55000,109,73.6,208.5,56,sedan
Lincoln      ,Continental,60000,109,73.6,208.5,56,sedan
Mercedes-Benz,C-Class,7800,105.9,67.7,177.4,56.1,hatch
Mercedes-Benz,E-Class,1200,111.5,70.8,189.4,56.2,sedan
Mercedes-Benz,E-Class,1350,111.5,70.8,189.4,56.2,sedan
Mercedes-Benz,E-Class,1600,111.5,70.8,189.4,56.2,sedan
Mercedes-Benz,E-Class,1700,111.5,70.8,189.4,56.2,sedan
Mercedes-Benz,E-Class,1350,111.5,70.8,189.4,56.2,vagon
Mercedes-Benz,E-Class,1350,111.5,70.8,189.4,56.2,vagon
Mercedes-Benz,E-Class,2550,111.5,70.8,189.4,56.2,vagon
Mercedes-Benz,E-Class,3750,111.5,70.8,189.4,56.2,vagon
Mercedes-Benz,E-Class,5000,111.5,70.8,189.4,56.2,vagon
Mercedes-Benz,E-Class,6900,111.5,70.8,189.4,56.2,vagon
Mercedes-Benz,E-Class,7300,111.5,70.8,189.4,56.2,vagon
Mercedes-Benz,E-Class,9500,111.5,70.8,189.4,56.2,vagon
Mercedes-Benz,E-Class,14490,111.5,70.8,189.4,56.2,vagon
Mercedes-Benz,E-Class,14500,111.5,70.8,189.4,56.2,vagon
Mercedes-Benz,E-Class,15900,111.5,70.8,189.4,56.2,vagon
Mercedes-Benz,E-Class,24800,111.5,70.8,189.4,56.2,vagon
Mercedes-Benz,E-Class,26800,111.5,70.8,189.4,56.2,vagon
Mercedes-Benz,E-Class,33000,111.5,70.8,189.4,56.2,vagon
Mercury      ,Grand Marquis,10000,114.7,78.2,212,56.3,sedan
Mitsubishi   ,Galant,1550,103.7,68.5,187.8,54.9,hatch
Mitsubishi   ,Galant,2199,103.7,68.5,187.8,54.9,hatch
Mitsubishi   ,Galant,2400,103.7,68.5,187.8,54.9,hatch
Mitsubishi   ,Galant,2900,103.7,68.5,187.8,54.9,hatch
Mitsubishi   ,Galant,3149,103.7,68.5,187.8,54.9,hatch
Mitsubishi   ,Galant,12000,103.7,68.5,187.8,54.9,sedan
Mitsubishi   ,Galant,12750,103.7,68.5,187.8,54.9,sedan
Mitsubishi   ,Galant,2600,103.7,68.5,187.8,54.9,vagon
Mitsubishi   ,Galant,4900,103.7,68.5,187.8,54.9,vagon
Nissan       ,Pathfinder,3330,106.3,71.7,182.6,70.9,crossover
Nissan       ,Pathfinder,9000,106.3,71.7,182.6,70.9,crossover
Nissan       ,Pathfinder,14500,106.3,71.7,182.6,70.9,crossover
Nissan       ,Pathfinder,14500,106.3,71.7,182.6,70.9,crossover
Nissan       ,Pathfinder,15800,106.3,71.7,182.6,70.9,crossover
Nissan       ,Pathfinder,16500,106.3,71.7,182.6,70.9,crossover
Nissan       ,Pathfinder,17900,106.3,71.7,182.6,70.9,crossover
Nissan       ,Pathfinder,28500,106.3,71.7,182.6,70.9,crossover
Oldsmobile   ,Aurora,8500,113.8,74.4,205.4,55.4,crossover
Subaru       ,Outback,8999,103.5,67.5,185.8,62.9,crossover
